product_id,title,description,category,subcategory,price,currency,stock_qty,image_url,image_url_2,color,base_color,material_fabric,fit_or_build,style,occasions,upsell_to_product_id,upsell_to_title,upsell_delta_price,upsell_pitch,cross_sell_product_ids,cross_sell_product_titles,cross_sell_look_names,cross_sell_pitch
prod_218,Premium Pima Cotton Tee,"Made from long-staple Pima cotton for a softer feel and a more fitted, flattering cut than the basic tee.",Apparel,T-Shirts,399,INR,70,https://images.pexels.com/photos/7319044/pexels-photo-7319044.jpeg,,Black,Black,Pima Cotton,Fitted,Casual,Daily Wear;Casual Outings,,,,,,,,
prod_219,Graphic Print Tee,A lavender cotton tee with a printed graphic — an easy statement piece for weekend errands.,Apparel,T-Shirts,349,INR,85,https://images.pexels.com/photos/11798707/pexels-photo-11798707.jpeg,,Lavender,Purple,Cotton,Regular,Casual,Weekend;Daily Wear,prod_218,Premium Pima Cotton Tee,50,Pima cotton feels softer and holds a more flattering fitted shape than the standard graphic tee.,,,,
prod_220,Oversized Boyfriend Tee,"A beige cotton tee cut deliberately oversized for a relaxed, lounge-ready fit.",Apparel,T-Shirts,449,INR,60,https://images.pexels.com/photos/32322207/pexels-photo-32322207.png,,Beige,Beige,Cotton,Oversized,Casual,Weekend;Lounge,prod_218,Premium Pima Cotton Tee,0,Pima cotton in a fitted cut is a noticeably more polished daily-wear tee than the boyfriend fit.,,,,
prod_221,Formal Straight-Fit Trousers,A polyester-viscose blend trouser in a clean straight fit — the standard formal bottom for shirts and blouses.,Apparel,Trousers,899,INR,70,https://images.pexels.com/photos/32279880/pexels-photo-32279880.jpeg,,Black,Black,Polyester-Viscose Blend,Straight,Formal,Office;Formal Events,prod_222,Premium Tailored Trousers,400,Wool-blend tailoring drapes richer and holds its shape longer than the standard formal trouser.,prod_201|prod_231|prod_237|prod_240,Classic White Formal Shirt|Classic Block Heels|Silver Chain Necklace|Rose Gold Analog Watch,Office Formal Look,Completes the Office Formal Look.
prod_222,Premium Tailored Trousers,A wool-blend trouser with a sharper tailored cut and a noticeably richer drape than the standard formal pair.,Apparel,Trousers,1299,INR,35,https://images.pexels.com/photos/17474337/pexels-photo-17474337.jpeg,,Charcoal,Grey,Wool Blend,Tailored,Formal,Office;Formal Events,,,,,prod_202|prod_232|prod_236|prod_240,Premium Silk-Blend Formal Shirt|Premium Leather Stilettos|Golden Layered Necklace|Rose Gold Analog Watch,Executive Formal Look,Completes the Executive Formal Look.
prod_223,High-Waist Formal Palazzos,"A navy crepe palazzo with a high waist and wide, flowing leg — a formal alternative to trousers that pairs equally well with blouses.",Apparel,Trousers,999,INR,45,https://images.pexels.com/photos/32049297/pexels-photo-32049297.jpeg,,Navy,Blue,Crepe,Wide Leg,Formal,Office;Evening Events,prod_222,Premium Tailored Trousers,300,Wool-blend tailoring drapes richer than crepe and holds its shape longer through office days.,prod_206|prod_216|prod_232|prod_235|prod_236|prod_238,Premium Satin Blouse|Sequin Party Top|Premium Leather Stilettos|Strappy Sandals|Golden Layered Necklace|Signature Eau de Parfum,Evening Party Look|New Year Party Look,"Completes the Evening Party Look, New Year Party Look."
prod_224,Culotte Formal Pants,"A beige polyester-blend culotte with a wide cropped leg — smart enough for the office, relaxed enough for the weekend.",Apparel,Trousers,849,INR,50,https://images.pexels.com/photos/27228782/pexels-photo-27228782.jpeg,,Beige,Beige,Polyester Blend,Wide Leg,Smart Casual,Office;Weekend,,,,,prod_204|prod_233|prod_237,Striped Cotton Shirt|Ballerina Flats|Silver Chain Necklace,Smart Casual Office Look,Completes the Smart Casual Office Look.
prod_225,Pleated Formal Trousers,An olive twill trouser with a pleated front for extra ease through the hip — a classic formal silhouette.,Apparel,Trousers,949,INR,40,https://images.pexels.com/photos/36186619/pexels-photo-36186619.jpeg,,Olive,Green,Twill,Tailored,Formal,Office;Formal Events,prod_222,Premium Tailored Trousers,350,Wool-blend tailoring drapes richer than twill and reads more polished for boardroom and formal events.,,,,
prod_226,Skinny Fit High-Rise Jeans,"A dark indigo, cotton-elastane denim in a high-rise skinny fit — the everyday jean with enough stretch for all-day comfort.",Apparel,Jeans,899,INR,95,https://images.pexels.com/photos/9032475/pexels-photo-9032475.jpeg,,Dark Indigo,Blue,Denim (Cotton-Elastane),Skinny,Casual,Daily Wear;Weekend,prod_227,Premium Stretch Skinny Jeans,300,"Premium stretch denim gives a smoother, more sculpting fit than the standard skinny jean.",prod_217|prod_234|prod_239,Classic Round Neck Tee|Casual White Sneakers|Fresh Citrus Eau de Toilette,Casual Weekend Look,Completes the Casual Weekend Look.
prod_227,Premium Stretch Skinny Jeans,"A premium stretch denim in black with a smoother, more sculpting fit than standard skinny jeans.",Apparel,Jeans,1199,INR,40,https://images.pexels.com/photos/13545423/pexels-photo-13545423.jpeg,,Black,Black,Premium Stretch Denim,Skinny,Casual,Daily Wear;Casual Outings,,,,,,,,
prod_228,Straight Fit Mom Jeans,"A light-blue denim in a relaxed straight cut with a higher rise — the comfortable, retro-leaning everyday jean.",Apparel,Jeans,949,INR,65,https://images.pexels.com/photos/17542870/pexels-photo-17542870.jpeg,,Light Blue,Blue,Denim,Straight,Casual,Weekend;Daily Wear,,,,,prod_211|prod_233|prod_239,Floral Print Top|Ballerina Flats|Fresh Citrus Eau de Toilette,Weekend Brunch Look,Completes the Weekend Brunch Look.
prod_229,Bootcut Jeans,A medium-blue denim with a subtle bootcut flare from the knee — pairs cleanly with heels or flats.,Apparel,Jeans,999,INR,55,https://images.pexels.com/photos/19025524/pexels-photo-19025524.jpeg,,Medium Blue,Blue,Denim,Bootcut,Casual,Daily Wear;Weekend,,,,,prod_215|prod_234,Wrap Front Top|Casual White Sneakers,Casual Layered Look,Completes the Casual Layered Look.
prod_230,Flared Jeans,A washed-blue denim with a wide flared leg from the thigh — a statement silhouette for weekend outings.,Apparel,Jeans,1049,INR,35,https://images.pexels.com/photos/33801521/pexels-photo-33801521.jpeg,,Washed Blue,Grey,Denim,Flared,Casual,Weekend;Casual Outings,,,,,prod_213|prod_235|prod_236|prod_238,Off-Shoulder Top|Strappy Sandals|Golden Layered Necklace|Signature Eau de Parfum,Date Night Look,Completes the Date Night Look.
prod_231,Classic Block Heels,A nude faux-leather block heel at a wearable 3 inches — the reliable formal shoe that doesn't sacrifice comfort for a full workday.,Footwear,Heels,1499,INR,55,https://images.pexels.com/photos/18935118/pexels-photo-18935118.jpeg,,Nude,Beige,Faux Leather,3-inch Block Heel,Formal,Office;Formal Events,prod_232,Premium Leather Stilettos,700,"Genuine leather and a taller stiletto heel — a sharper, dressier finish for evenings out.",prod_201|prod_221|prod_237|prod_240,Classic White Formal Shirt|Formal Straight-Fit Trousers|Silver Chain Necklace|Rose Gold Analog Watch,Office Formal Look,Completes the Office Formal Look.
prod_232,Premium Leather Stilettos,"A genuine-leather stiletto at 4 inches with a noticeably sharper, more polished finish than the block heel — built for evenings, not the office floor.",Footwear,Heels,2199,INR,25,https://images.pexels.com/photos/27127387/pexels-photo-27127387.jpeg,,Black,Black,Genuine Leather,4-inch Stiletto Heel,Party,Evening Events;Parties,,,,,prod_202|prod_206|prod_222|prod_223|prod_236|prod_238|prod_240,Premium Silk-Blend Formal Shirt|Premium Satin Blouse|Premium Tailored Trousers|High-Waist Formal Palazzos|Golden Layered Necklace|Signature Eau de Parfum|Rose Gold Analog Watch,Evening Party Look|Executive Formal Look,"Completes the Evening Party Look, Executive Formal Look."
prod_233,Ballerina Flats,A beige faux-leather ballerina flat with a soft round toe — the everyday shoe for the office and daily errands alike.,Footwear,Flats,899,INR,80,https://images.pexels.com/photos/29397475/pexels-photo-29397475.jpeg,,Beige,Beige,Faux Leather,Flat Sole,Smart Casual,Office;Daily Wear,,,,,prod_204|prod_211|prod_224|prod_228|prod_237|prod_239,Striped Cotton Shirt|Floral Print Top|Culotte Formal Pants|Straight Fit Mom Jeans|Silver Chain Necklace|Fresh Citrus Eau de Toilette,Smart Casual Office Look|Weekend Brunch Look,"Completes the Smart Casual Office Look, Weekend Brunch Look."
prod_234,Casual White Sneakers,A white canvas sneaker with a cushioned rubber sole — the everyday shoe for weekend errands and casual outfits.,Footwear,Sneakers,1099,INR,90,https://images.pexels.com/photos/32874251/pexels-photo-32874251.jpeg,,White,White,Canvas,Rubber Sole,Casual,Daily Wear;Weekend,,,,,prod_215|prod_217|prod_226|prod_229|prod_239,Wrap Front Top|Classic Round Neck Tee|Skinny Fit High-Rise Jeans|Bootcut Jeans|Fresh Citrus Eau de Toilette,Casual Layered Look|Casual Weekend Look,"Completes the Casual Layered Look, Casual Weekend Look."
prod_235,Strappy Sandals,"A gold faux-leather strappy sandal with a low block heel — dressy enough for an evening out, comfortable enough for a vacation day.",Footwear,Sandals,1299,INR,45,https://images.pexels.com/photos/35665095/pexels-photo-35665095.png,,Gold,Gold,Faux Leather,2-inch Block Heel,Party,Evening Events;Vacation,,,,,prod_213|prod_216|prod_223|prod_230|prod_236|prod_238,Off-Shoulder Top|Sequin Party Top|High-Waist Formal Palazzos|Flared Jeans|Golden Layered Necklace|Signature Eau de Parfum,Date Night Look|New Year Party Look,"Completes the Date Night Look, New Year Party Look."
prod_236,Golden Layered Necklace,A gold-plated layered necklace on a brass base with an adjustable 16-18 inch chain — a statement piece for evening looks.,Accessories,Necklaces,1199,INR,60,https://images.pexels.com/photos/38101141/pexels-photo-38101141.jpeg,,Gold,Gold,Brass Base with Gold Plating,16-18 inch Adjustable Chain,Statement,Evening Events;Parties,,,,,prod_202|prod_206|prod_213|prod_216|prod_222|prod_223|prod_230|prod_232|prod_235|prod_238|prod_240,Premium Silk-Blend Formal Shirt|Premium Satin Blouse|Off-Shoulder Top|Sequin Party Top|Premium Tailored Trousers|High-Waist Formal Palazzos|Flared Jeans|Premium Leather Stilettos|Strappy Sandals|Signature Eau de Parfum|Rose Gold Analog Watch,Date Night Look|Evening Party Look|Executive Formal Look|New Year Party Look,"Completes the Date Night Look, Evening Party Look, Executive Formal Look, New Year Party Look."
prod_237,Silver Chain Necklace,A minimalist 925 sterling silver chain necklace at 18 inches — understated enough to wear to work every day.,Accessories,Necklaces,1499,INR,55,https://media.istockphoto.com/id/2268430160/photo/minimal-silver-necklace-with-round-pendants-on-woman-neck.jpg?b=1&s=612x612&w=0&k=20&c=kmbEfk6bvtd_CHOWpYIqif3vWvk8ORwpO1QMZdcT_TM=,,Silver,Silver,925 Sterling Silver,18 inch Chain,Minimalist,Daily Wear;Office,prod_236,Golden Layered Necklace,-300,A statement layered gold necklace reads dressier than a minimalist silver chain — the pick for evening looks.,prod_201|prod_204|prod_221|prod_224|prod_231|prod_233|prod_240,Classic White Formal Shirt|Striped Cotton Shirt|Formal Straight-Fit Trousers|Culotte Formal Pants|Classic Block Heels|Ballerina Flats|Rose Gold Analog Watch,Office Formal Look|Smart Casual Office Look,"Completes the Office Formal Look, Smart Casual Office Look."
prod_238,Signature Eau de Parfum,An amber-floral eau de parfum (50ml) with strong projection and long lasting power — built for evenings that matter.,Accessories,Perfumes,2499,INR,40,https://images.pexels.com/photos/37885619/pexels-photo-37885619.jpeg,,Amber Floral,,Fragrance,Eau de Parfum (50ml),Elegant,Evening Events;Date Night,,,,,prod_206|prod_213|prod_223|prod_230|prod_232|prod_235|prod_236,Premium Satin Blouse|Off-Shoulder Top|High-Waist Formal Palazzos|Flared Jeans|Premium Leather Stilettos|Strappy Sandals|Golden Layered Necklace,Date Night Look|Evening Party Look,"Completes the Date Night Look, Evening Party Look."
prod_239,Fresh Citrus Eau de Toilette,A light citrus eau de toilette (50ml) built for daily wear — subtle projection that won't overwhelm an office room.,Accessories,Perfumes,1699,INR,65,https://images.pexels.com/photos/11140157/pexels-photo-11140157.jpeg,,Citrus Fresh,,Fragrance,Eau de Toilette (50ml),Everyday,Daily Wear;Office,prod_238,Signature Eau de Parfum,800,Eau de Parfum concentration lasts hours longer and projects more richly than an EDT — worth it for evenings that matter.,prod_211|prod_217|prod_226|prod_228|prod_233|prod_234,Floral Print Top|Classic Round Neck Tee|Skinny Fit High-Rise Jeans|Straight Fit Mom Jeans|Ballerina Flats|Casual White Sneakers,Casual Weekend Look|Weekend Brunch Look,"Completes the Casual Weekend Look, Weekend Brunch Look."
prod_240,Rose Gold Analog Watch,"A rose gold-cased analog watch on a stainless steel strap — polished enough for the office, elegant enough for an evening event.",Accessories,Watches,2199,INR,30,https://media.istockphoto.com/id/655397100/photo/beautiful-young-woman-leaning-on-back-of-chair.jpg?b=1&s=612x612&w=0&k=20&c=wJkUrie6h4hzJkgv2M8gKmouXQv7pvSwLc4qbDPepfs=,,Rose Gold Dial,Gold,Stainless Steel Strap,Analog (Quartz),Elegant,Office;Evening Events,,,,,prod_201|prod_202|prod_221|prod_222|prod_231|prod_232|prod_236|prod_237,Classic White Formal Shirt|Premium Silk-Blend Formal Shirt|Formal Straight-Fit Trousers|Premium Tailored Trousers|Classic Block Heels|Premium Leather Stilettos|Golden Layered Necklace|Silver Chain Necklace,Executive Formal Look|Office Formal Look,"Completes the Executive Formal Look, Office Formal Look."
